店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
炭と檸檬 居酒屋 白黒 東岡崎駅前店,050-5487-5646,,愛知県,岡崎市,明大寺本町4-47,,https://n875619.gorp.jp/,True
豆富料理と吟醸せいろ蒸し 八かく庵 大阪ステーションシティ店,050-3200-0702,,大阪府,大阪市北区,梅田3-1-1,サウスゲートビルディング16F,https://kad5601.gorp.jp/,True
ひらいし,050-5493-0607,,大阪府,大阪市北区,曽根崎新地1-9-6,菱冨ビル3F,https://kadh700.gorp.jp/,True
魚民 市ヶ谷駅前店,03-3268-6088,,東京都,新宿区,市谷八幡町2-1,DS市ヶ谷ビル8F,https://ge41539.gorp.jp/,True
和食 えん 丸の内オアゾ（ｏａｚｏ）,050-5484-5931,,東京都,千代田区,丸の内1-6-4,5F,,False
串かつともつ鍋 串のきっしゃん,050-5486-2358,,大阪府,大阪市淀川区,西中島3-14-20,,https://kushinokissyan.gorp.jp/,True
ちろりん,050-5485-3668,,広島県,東広島市,西条大坪町8-3,,https://y105500.gorp.jp/,True
梅の花 大泉学園店,050-5484-5132,,東京都,練馬区,東大泉5-43-1,ゆめりあフェンテ4F,https://oizumigakuen-umenohana.gorp.jp/,True
木曽路 高島町店,050-5484-5192,,神奈川県,横浜市西区,花咲町6-147,,https://274kisoji.gorp.jp/,True
木曽路 幕張店,050-5484-2245,,千葉県,千葉市美浜区,幕張西3-1-8,,https://295kisoji.gorp.jp/,True
とらふぐ亭 南千住店,050-5492-0755,,東京都,荒川区,南千住5-38-3,,https://g603435.gorp.jp/,True
せんざん 本牧店,050-5485-7675,,神奈川県,横浜市中区,本牧原17-2,本牧エスタ1F,https://a563826.gorp.jp/,True
個室居酒屋 八吉 八重洲仲通り本店,03-3272-8816,info@ichirokudo.com,東京都,中央区,日本橋3-4-1,第二弥生ビル,https://g243616.gorp.jp/,True
和食麺処サガミ武豊店,050-5494-1620,,愛知県,知多郡武豊町,字浅水1-3,,https://ncb7049.gorp.jp/,True
華屋与兵衛 目黒八雲店,050-5494-2775,,東京都,目黒区,八雲5-16-3,,https://gdnv936.gorp.jp/,True
日本料理花ゆず,050-5486-7712,,栃木県,宇都宮市,南一の沢町2-34,,https://hanayuzu.gorp.jp/,True
