店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
貸切宴会＆個室二次会 リリーバンケット 栄伏見店,050-5485-2202,,愛知県,名古屋市中区,錦2-13-25,2～5F,,
麦の音,050-5484-0795,,東京都,新宿区,歌舞伎町1-12-15,新宿第7ビルB1,,
神戸牛 ステーキ Ishida． LINKS UMEDA店,050-5488-1581,,大阪府,大阪市北区,大深町1-1,LINKS UMEDA8F,,
ロイヤルホスト 津田沼店,047-477-8881,,千葉県,船橋市,前原西1-1-20,,,
ロイヤルホスト 石神井台店,03-3923-9010,,東京都,練馬区,石神井台6-18-1,,,
Meat＆Oyster 渋谷 Kairi,050-5485-8904,,東京都,渋谷区,道玄坂1-11-1,第二大番ビル203,,
ロイヤルホスト 常盤平店,047-385-2601,,千葉県,松戸市,常盤平7-23-4,,,
肉のジャイアン2,050-5488-3695,,東京都,葛飾区,西新小岩1-2-5,ユニオン新小岩ビル1F,,
バケット アルカキット錦糸町店,03-5637-0309,,東京都,墨田区,錦糸2-2-1,アルカキット錦糸町10F,,
ブラッセルズビアプロジェクト新宿,050-5488-7777,,東京都,渋谷区,代々木2-20-16,,,
ステーキ＆ワイン Bambu［バンブゥ］ 久地駅前,050-5484-8586,,神奈川県,川崎市高津区,久地4-12-1,川辺ビル205,,
NIKKO KANAYA HOTEL CRAFT GRILL,050-5486-1574,,東京都,新宿区,新宿3-32-6,B1,,
BISTRO309 アリオ札幌店,011-748-1309,,北海道,札幌市東区,北7条東9-2-20,,,
ロイヤルホスト あみだ池店,06-6536-6091,,大阪府,大阪市西区,北堀江3-11-24,,,
ラ・オハナ 権太坂店,0570-019-977,,神奈川県,横浜市保土ケ谷区,権太坂3-20-33,,,
サムズ バイザシー 泡瀬店,098-937-3421,,沖縄県,沖縄市,泡瀬1-41-15,,,
西洋懐石 じょ里ぃ,050-5493-7022,,神奈川県,厚木市,旭町1-32-14,,,
ステーキハウス 成しま 藤枝店,050-5488-3127,,静岡県,藤枝市,立花2-1-8,,,
神戸元町ドリア イオンモールつくば店,050-5489-2799,,茨城県,つくば市,稲岡66-1,,,
炭焼きとワイン PEQUE【ペケ】 新百合ヶ丘,050-5487-0550,,神奈川県,川崎市麻生区,上麻生1-6-3,,,
ラ・オハナ 港北ニュータウン店,0570-019-977,,神奈川県,横浜市都筑区,中川7-1-9,,,
ラ・クッチーナ セレーノ,050-5489-0233,,千葉県,千葉市若葉区,若松町1-1,,,
炭火シュラスコ Gostoso,050-5488-3770,,東京都,港区,六本木5-11-25,アネックス鳥居坂1F,,
神戸ビーフ 北新地 ニューオークラ,050-5485-9256,,大阪府,大阪市北区,曽根崎新地1-5-7,森ビルB1,,
ブッフェレストラン フェスタガーデン イオンモール下田 店,050-5492-1334,,青森県,上北郡おいらせ町,中野平40-1,イオンモール下田1F,,
少人数個室×フロアー貸切 Tapas＆Wine　新橋ZION‐ザイオン‐,050-5488-1016,,東京都,港区,新橋3-16-7,1・2F,,
個室肉バル 食べ放題 まいた 渋谷本店,050-5494-6554,,東京都,渋谷区,渋谷2-19-17,第106東京ビル9F,,
ロイヤルホスト 浦和常盤店,048-833-1192,,埼玉県,さいたま市浦和区,常盤7-1-17,,,
嵐山 喜重郎,050-5487-3279,,京都府,京都市右京区,嵯峨天龍寺北造路町18-27,,,
American Grill＆Bar Wood Stock,050-5486-8280,,神奈川県,川崎市川崎区,東田町2-7,仲見世ビル1F,,
ロイヤルホスト 小平店,042-325-5624,,東京都,小平市,上水本町3-6-1,,,
イタリアン ペーザロ,050-5487-2182,,静岡県,掛川市,城下6-12,,,
